,level_0,index,CASEID,POINT_X,POINT_Y,YEAR_,LOCATION,CHPTYPE,DAYWEEK,CRASHSEV,VIOLCAT,KILLED,INJURED,WEATHER1,PEDCOL,BICCOL,MCCOL,TRUCKCOL,ETOH,TIMECAT,MONTH_,CRASHTYP,INVOLVE,PED,PRIMARYRD,SECONDRD,DISTANCE,DIRECT,INTERSECT_,PROCDATE,JURIS,DATE_,TIME_,BADGE,JURIDIST,SHIFT,POP,SPECIAL,BEATTYPE,LAPDDIV,BEATCLAS,BEATNUMB,WEATHER2,STATEHW,CALTRANC,CALTRAND,STROUTE,ROUTESUF,POSTPRE,POSTMILE,LOCATYPE,RAMP,SIDEHW,TOWAWAY,PARTIES,PCF,VIOLCODE,VIOL,VIOLSUB,HITRUN,ROADSURF,RDCOND1,RDCOND2,LIGHTING,RIGHTWAY,CHPRDTYP,NOTPRIV,STFAULT,CHPFAULT,SEVINJ,OTHERINJ,COP,PEDKILL,PEDINJ,BICKILL,BICINJ,MCKILL,MCINJURE,RAMP1,RAMP2,CITY,COUNTY,STATE,X_CHP,Y_CHP,AvgVAGE,VAGE_Minor,VAGE_Working,VAGE_Senior,MobilLimAge,F_M_VSEX,F_F_VSEX,F_A_PRACE,F_H_PRACE,F_W_PRACE,F_O_PRACE,F_B_PRACE,F_E_MOVEMENT,F_B_MOVEMENT,F_A_MOVEMENT,F_D_MOVEMENT,F_P_MOVEMENT,F_O_MOVEMENT,F_H_MOVEMENT,F_L_MOVEMENT,F_F_MOVEMENT,F_R_MOVEMENT,F_J_MOVEMENT,F_Q_MOVEMENT,F_G_MOVEMENT,F_C_MOVEMENT,F_M_MOVEMENT,F_N_MOVEMENT,F_K_MOVEMENT,F_I_MOVEMENT,F_A_VEHTYPE,F_I_VEHTYPE,F_L_VEHTYPE,F_D_VEHTYPE,F_C_VEHTYPE,F_N_VEHTYPE,F_F_VEHTYPE,F_J_VEHTYPE,F_G_VEHTYPE,F_B_VEHTYPE,F_M_VEHTYPE,F_E_VEHTYPE,F_H_VEHTYPE,PrimeModeClass
0,0,0,2413362,-121.99597305700001,37.403503418,2006,4316,0,6,4,09,0,2,B,,,,,,1500,1,D,F,A,LAWRENCE EXPWY,TASMAN DR,0,,Y,2006-05-06,4316,2006-01-07,1248,14461,22,5,6,0,0,,0,002,-,N,,0,0,,,0.0,,,,Y,2,A,-,21453,C,N,A,H,-,A,A,0,Y,A,01,0,0,2,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,73.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,Motor Vehicle
1,1,1,2413367,-122.01336891,37.3940429688,2006,4316,0,5,4,03,0,2,A,,,,,Y,1200,1,C,C,A,FAIR OAKS,AHWANEE AV,253,N,N,2006-06-08,4316,2006-01-06,1003,15148,12,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,N,2,A,-,22350,,N,A,H,-,A,D,0,Y,A,01,0,0,2,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,24.5,,1.0,,,,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
2,2,2,2413382,-122.04403306299999,37.3851547241,2006,4316,0,3,4,09,0,1,A,,Y,,,,1200,1,D,G,A,MARY AV,CALIFORNIA AV,0,,Y,2006-05-19,4316,2006-01-04,1100,13848,12,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,N,2,A,-,21802,B,N,A,H,-,A,A,0,Y,A,01,0,0,1,0,0,0,1,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,56.0,,1.0,,,,1.0,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,Bicycle
3,3,3,2413390,-122.04993306200001,37.3682746887,2006,4316,0,3,3,09,0,1,A,,,,,,1800,1,D,C,A,SOUTH MARY,CAMBRIDGE AV,0,,Y,2006-05-19,4316,2006-01-04,1740,15143,51,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,Y,2,A,-,21802,A,N,A,H,-,C,D,0,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,19.5,,2.0,,,2.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
4,4,4,2413402,-122.03067834299999,37.3891601563,2006,4316,0,2,4,03,0,1,A,,,,,,1500,1,D,C,A,MATHILDA AV,MAUDE AV,200,S,N,2006-05-19,4316,2006-01-03,1217,13848,12,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,N,2,A,-,22350,,N,A,H,-,A,D,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,43.0,,1.0,,,1.0,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
5,5,5,2413406,-122.030683058,37.3590164185,2006,4316,0,2,4,-,0,1,B,,,,,,2100,1,D,C,A,REMINGTON,AZURE,0,,Y,2006-05-19,4316,2006-01-03,1817,10043,51,5,6,0,0,,0,052,-,N,,0,0,,,0.0,,,,Y,2,-,-,0,,N,A,H,-,C,D,0,Y,-,-,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,39.0,,2.0,,,,2.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle
6,6,6,2413410,-122.030754761,37.3838844299,2006,4316,0,2,4,03,0,1,B,,,,,,900,1,E,I,A,CENTRAL EXPWY,SAN ANSELMO WY,125,E,N,2006-05-19,4316,2006-01-03,700,11145,16,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,Y,1,A,-,22350,,N,B,H,-,A,D,0,Y,D,22,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,46.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,Motor Vehicle
7,7,7,2413418,-122.03934279299999,37.3593978882,2006,4316,0,1,4,08,0,1,C,,,,,,1800,1,C,E,A,REMINGTON DR,HOLLENBECK AV,635,E,N,2006-05-19,4316,2006-01-02,1509,14956,52,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,Y,2,A,-,22107,,N,B,H,-,A,D,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,75.0,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
8,8,8,2413426,-122.062313062,37.3555349766,2006,4316,0,2,4,12,0,1,B,,,,,,1500,1,D,C,A,FREMONT AV,RT 85,0,,Y,2006-06-01,4316,2006-01-03,1223,26616,,5,6,0,0,,0,005,-,Y,SCL,4,85,-,R,20.031,R,4,S,Y,2,A,-,21453,A,N,A,H,-,A,A,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,S,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,334.0,2.0,,1.0,3.0,,3.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
9,9,9,2413429,-122.03449306,37.376865386999995,2006,4316,0,1,4,12,0,1,C,,,,,,1800,1,D,C,A,MATHILDA,WASHINGTON,0,,Y,2006-05-19,4316,2006-01-02,1704,12008,33,5,6,0,0,,0,003,-,N,,0,0,,,0.0,,,,Y,2,A,-,21453,A,N,B,H,-,B,A,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,49.0,,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
10,10,10,2413438,-122.046093559,37.371445982,2006,4316,0,2,3,03,0,1,B,,,,,,900,1,C,E,A,RT 82,MARY AV,689,E,N,2006-05-30,4316,2006-01-03,730,13542,33,5,6,0,0,,0,003,-,Y,SCL,4,82,-,-,17.56,H,-,N,Y,2,A,-,22350,,N,B,H,-,B,D,0,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,48.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,Motor Vehicle
11,11,11,2422501,-122.04814306200001,37.3729057312,2006,4316,0,2,4,09,0,1,A,,,,,,1500,1,D,C,A,MARY AV,OLIVE AV,0,,Y,2006-05-25,4316,2006-01-10,1217,14997,32,5,6,0,0,,0,003,-,N,,0,0,,,0.0,,,,Y,2,A,-,21802,A,N,A,H,-,A,A,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,37.0,,1.0,,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
