"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"2430247",2,"1","N","F",20,"A","-","N","M","G","Y","-","3","-","-","-",,,"H","-",0,2,"B",2006,"TOYOTA","A","1","0","H",,"-","-",2006
"2443328",1,"1","N","F",43,"A","-","S","G","-","Y","-","C","-","-","-",,,"N","-",0,1,"A",2005,"HONDA","A","1","0","A",,"-","-",2006
"2443328",2,"1","Y","M",38,"A","-","S","G","-","Y","-","C","-","-","-",,,"N","-",0,0,"B",2005,"HONDA","A","1","0","A",,"-","-",2006
"2443351",4,"1","N","F",42,"A","-","N","M","G","Y","-","3","-",,"25",22350,,"A","-",0,0,"B",2006,"FORD","A","1","0","W",,"-","-",2006
"2443351",3,"1","Y","M",28,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2002,"TOYOTA","D","22","0","O",,"-","-",2006
"2443351",1,"1","N","M",45,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",1997,"INFINITI","A","1","0","B",,"-","-",2006
"2443351",2,"1","N","M",36,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"A",2001,"HONDA","A","1","0","A",,"-","-",2006
"2443361",1,"1","N","F",65,"A","-","W","M","E","Y","-","-","-","-","-",,,"N","-",0,0,"B",2000,"CHEVROLET","A","1","0","W",,"-","-",2006
"2443361",2,"1","N","M",32,"A","-","W","-","-","Y","-","-","-","-","-",,,"N","-",0,1,"A",2000,"YAMAHA","C","3","0",,,"-","-",2006
"2443365",2,"1","N","M",39,"A","-","S","M","E","Y","-","-","-","-","-",,,"N","-",0,1,"B",2001,"TOYOTA","A","7","0","A",,"-","-",2006
"2443365",1,"1","Y","F",27,"A","-","W","M","E","Y","-","-","-","-","-",,,"H","-",0,0,"L",2005,"NISSAN","A","7","0","A",,"-","-",2006
"2443405",1,"1","Y","M",47,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1996,"GMC","A","7","0","W",,"-","-",2006
"2443405",2,"1","N","F",59,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",1995,"NISSAN","A","1","0","A",,"-","-",2006
"2443421",2,"1","N","M",27,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"F",2000,"HONDA","A","1","0","A",,"-","-",2006
"2443421",1,"1","Y","-",998,"G","G","W","-","-",,"-","-","-","-","-",,,"N","-",0,0,"B",,"HONDA","A","1","0",,,"-","-",2006
"2443476",3,"1","N","M",52,"A","-","N","M","G","Y","-","3","-","-","-",,,"-","-",0,0,"B",2002,"HYUNDAI","-","-","0","A",,"-","-",2006
"2443476",1,"1","Y","M",68,"A","-","E","P","G","Y","-","3","-","-","-",,,"-","-",0,0,"B",1991,"TOYOTA","A","1","0","A",,"-","-",2006
"2443476",2,"1","N","F",59,"A","-","N","M","G","Y","-","3","-","-","-",,,"-","-",0,1,"B",2005,"LEXUS","A","1","0","A",,"-","-",2006
"2443479",1,"1","Y","F",87,"A","-","E","M","G","Y","-","3","-","-","-",,,"K","-",0,0,"B",1989,"HONDA","A","1","0","W",,"-","-",2006
