"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5858549",-122.014225914,37.3835466749,2012,"4316","0","3","4","01",0,1,"A",,,,,"Y",300,7,"E","I","A","WOLFE RD","STEWART DR",500,"N","N","2013-10-21",4316,"2012-07-04",257,"14956","27","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,,1,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5858510",-122.032442993,37.3430249761,2012,"4316","0","3","3","03",0,3,"B",,,,,,1200,7,"C","C","A","SUNNYVALE SARATOGA RD","HARWICK WY",0,,"Y","2013-10-21",4316,"2012-07-18",910,"15926","56","5","6","0","0",,"0","005","-","N",,0,0,,,0,,,,,2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,2,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5858506",-122.014103093,37.3886048298,2012,"4316","0","2","4","08",0,1,"A",,,,,,1800,7,"D","C","A","DUANE AV","BERNAL AV",0,,"Y","2013-10-21",4316,"2012-07-10",1745,"13877","26","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,,2,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5858489",-122.025077738,37.362014259,2012,"4316","0","5","4","08",0,2,"A",,,"Y",,,2100,7,"D","A","A","RT 82","S FAIR OAKS AV",225,"W","N","2013-10-21",4316,"2012-07-13",1845,"14456","42","5","6","0","0",,"0","004","-","Y","SCL",4,82,"-","-",16.2,"H","-","N","Y",2,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","01",0,0,2,0,0,0,0,0,1,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5858485",-122.02647305,37.4040748999,2012,"4316","0","3","4","12",0,2,"A",,,,,,1500,7,"B","C","A","MATHILDA AV","MOFFETT PARK DR",0,,"Y","2013-11-06",4316,"2012-07-18",1248,"13848","10","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,,2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","08",0,0,2,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5858482",-122.014157363,37.3528667351,2012,"4316","0","2","4","07",0,1,"A",,,,,,1800,7,"D","C","A","S WOLFE RD","E EL CAMINO REAL",65,"S","N","2013-10-21",4316,"2012-07-31",1731,"14456","42","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",3,"A","-",21658,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852560",-121.995869446,37.3962397456,2012,"4316","0","7","4","03",0,2,"A",,,,,,2100,4,"C","C","A","LAWRENCE EXPWY","LAKEHAVEN DR",60,"N","N","2013-08-17",4316,"2012-04-15",1832,"20280","21","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",3,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852559",-122.014213074,37.352185048,2012,"4316","0","7","4","12",0,1,"A",,,,,,1800,4,"D","C","A","WOLFE RD","FREMONT AV",0,,"Y","2013-08-17",4316,"2012-04-08",1715,"14954","61","5","6","0","0",,"0","006","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852547",-122.011369797,37.3776679015,2012,"4316","0","1","4","03",0,2,"A",,,,,,1200,4,"C","C","A","CENTRAL EXPWY","WOLFE RD",528,"E","N","2013-08-17",4316,"2012-04-30",919,"67643","16","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852546",-122.013063054,37.3781949059,2012,"4316","0","6","4","03",0,1,"A",,,,,,900,4,"H","A","A","WOLFE RD","CENTRAL EXPWY",0,,"Y","2013-08-17",4316,"2012-04-28",630,"15926","16","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,,1,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","WO","SUNNYVALE","SANTA CLARA","CA",0,0
"5852545",-122.048314694,37.3723558848,2012,"4316","0","3","3","05",0,1,"A",,"Y",,,,1500,4,"D","G","A","MARY AV","EL CAMINO REAL",210,"N","N","2013-08-17",4316,"2012-04-18",1224,"10449","32","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",21202,"A","N","A","H","-","A","D","0","Y","L","04",0,1,0,0,0,0,1,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852544",-122.013843098,37.3706449135,2012,"4316","0","5","3","01",0,2,"A",,,,,"Y",300,4,"D","C","A","WOLFE RD","EVELYN AV",0,,"Y","2013-08-17",4316,"2012-04-06",200,"14956","41","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","N","A","H","-","C","A","0","Y","A","01",0,1,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5852542",-122.030290182,37.38959063,2012,"4316","0","5","4","09",0,1,"A",,,"Y",,,2400,4,"D","C","A","MAUDE AV","MATHILDA AV",100,"E","N","2013-08-17",4316,"2012-04-20",2159,"16663","12","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","F","A","H","-","C","D","0","Y","A","01",0,0,1,0,0,0,0,0,1,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
